#Table1
specobjid,ra,dec,plate,mjd,fiberid
4322553586519089152,171.3624,0.42642817,3839,55575,814
3284395515109730304,181.12603,1.016498,2917,54556,529
3312537514635454464,71.742892,-5.096188,2942,54521,509
2462417659816339456,241.20176,52.241903,2187,54270,271
7111184745019449344,245.40437,50.139282,6316,56483,3
7118185605515681792,248.91716,47.074283,6322,56190,896
2690911841156098048,165.37212,47.611142,2390,54094,40
1055104597569333248,137.73916,39.100321,937,52707,496
3544428095060680704,128.46181,26.270269,3148,54802,346
1783540950535006208,122.31581,23.216485,1584,52943,420
6536047527371710464,143.81842,34.360666,5805,56336,722
6117017317878505472,204.20199,8.3730142,5433,55981,11
6132798882764005376,210.45556,8.8243833,5447,55958,80
2461294234766960640,240.59631,5.377735,2186,54327,280
6144099113820463104,214.39555,8.7401898,5457,55976,230
2703381671935240192,137.83685,30.886847,2401,53768,349
5997879460539375616,150.14868,11.362463,5327,55979,766
1961457326917445632,146.15158,12.002917,1742,53053,508
6029340337004060672,162.72929,14.566507,5355,56009,532
4755863970622971904,13.739986,-0.4215034,4224,55481,228
7114649030760570880,253.63464,47.165259,6319,56452,318
9068263502464917504,253.55809,49.145493,8054,57194,966
7428760813165322240,18.063397,34.165064,6598,56574,266
324372456422795264,184.62785,0.70451502,288,52000,412
6450441755451957248,137.04629,53.855651,5729,56598,586
9225897189477163008,150.04739,59.197006,8194,57401,994
7979519382714818560,155.15436,60.68319,7087,56637,970
6434703347001827328,145.65397,58.24502,5715,56657,674
4123068635542429696,114.60608,35.66253,3662,55182,84
494430069536614400,123.3413,45.469274,439,51877,582
2858718478200760320,217.74377,57.576578,2539,53918,213
9222515091525574656,149.40411,57.656113,8191,57390,978
882856473976137728,201.12538,62.360375,784,52327,549
7674199843850395648,205.89373,61.710174,6816,56444,240
6815291041123377152,223.40963,42.91283,6053,56091,796
6815340519146627072,224.97074,42.397928,6053,56091,976
3286632471197673472,181.18865,50.356463,2919,54537,475
1628146699601995776,177.07893,47.753928,1446,53080,347
3276516141148694528,226.74269,32.955073,2910,54630,536
2292369101785425920,173.18512,37.09585,2036,53446,134
2703341539760826368,139.05452,29.70201,2401,53768,203
3519588753033240576,39.564725,-0.17071501,3126,54804,93
2967998391881066496,35.589848,0.32588748,2636,54082,459
3176251671835679744,289.13725,37.329686,2821,54393,320
3152657800446974976,290.85267,38.04771,2800,54326,502
3149185822469679104,262.88631,7.790574,2797,54616,159
3148037382792570880,254.07304,12.285994,2796,54629,77
2487269640170924032,248.99075,14.984464,2209,53907,570
3149310342161524736,263.35574,8.928977,2797,54616,612
3532114663133257728,306.30584,-12.138409,3137,54730,606
3151473077372610560,262.29914,43.272093,2799,54368,288
3173929507035834368,280.86652,40.808163,2819,54617,64
4832607684074119168,341.86859,4.5163551,4292,55532,892
4815635622151561216,358.85124,4.8155061,4277,55506,588
4967553501305479168,342.16278,5.3089931,4412,55912,302
661026699487504384,221.20168,4.6622886,587,52026,449
2157303716070320128,310.3041,-6.680704,1916,53269,289
811800258492262400,337.93314,-9.8095618,721,52228,96
2150555464327260160,343.4074,-9.906009,1910,53321,315
