,Su,Sg,Sr,Si,Sz,Pg,Pr,Pi,Pz,Py,SMu,SMv,SMg,SMr,SMi,SMz,VRu,VRg,VRr,VRi,VRz,VRy,DEu,DEg,DEr,DEi,DEz,DEy,a_fwhm,a_height,b_fwhm,b_height,g_fwhm,g_height,d_fwhm,d_height,is_mpms
11,-31.07777413127961,-33.175520234560835,-34.21697974364645,-34.617985587395914,-34.83485174695947,-33.33839338913706,-34.230816125634895,-34.62741665871798,-34.809025374454485,-34.88814998671197,-30.851599686907615,-31.49592725750193,-33.57030196256122,-34.208273972578326,-34.67325567225949,-34.8519204606356,-31.279438865139788,-33.27926988372029,-34.237741164571936,-34.62681858542936,-34.810283819290234,-34.892434275739944,-31.4710922276521,-33.30059662078267,-34.31701217857489,-34.682032995816314,-34.85643926172836,-34.9000823608004,67.27331749214329,3.9480876580452705e-11,136.48540422505218,0.0,115.62753198754935,0.0008703061473226985,86.59460342797996,0.0017130179962187024,0
12,-31.100062172024575,-33.230092373050965,-34.2771891528952,-34.66641101689069,-34.86947125345779,-33.39519236115105,-34.29052547796216,-34.675397893877985,-34.84773684536568,-34.91440324122671,-30.870698466914497,-31.52351425704287,-33.629288828963546,-34.26783859014063,-34.719090258967036,-34.88377335718922,-31.30447580748833,-33.33538665661775,-34.2973564031513,-34.67482559032445,-34.84889466305901,-34.91644802702494,-31.49829820652012,-33.35697462699487,-34.375176896885364,-34.72744432349414,-34.88918765303616,-34.92106160491049,72.15441143559056,0.0,136.43909625325063,0.0,121.06585031541667,0.0012306747994520288,86.76289720120381,0.001907513436632928,0
13,-31.125673554689502,-33.282846515510215,-34.3370990224016,-34.713466721858154,-34.90047936526501,-33.45026770642332,-34.349917687532226,-34.72194086903735,-34.88383263997126,-34.93484599693318,-30.894090099176267,-31.552884437745888,-33.68692743907109,-34.327017284020364,-34.7632069134216,-34.91132843445827,-31.33203017586872,-33.3898185806199,-34.35666072143713,-34.72139472790098,-34.88487096243969,-34.93399403978821,-31.527376029358088,-33.41161842884042,-34.43303375121249,-34.77110054145005,-34.91789162142619,-34.934624000396035,81.02310721401697,1.5019090592785268e-10,136.10636090210778,0.0,123.42038952000314,0.0016075845044252466,87.15348315996451,0.0020855895532068563,0
14,-31.152772328557553,-33.331905992823025,-34.395691809915064,-34.757583975547426,-34.92568335850403,-33.50186529970867,-34.40795325460107,-34.765447669142596,-34.915308682659685,-34.94675922653175,-30.920090748129567,-31.58198238480564,-33.74170706592374,-34.3847408503055,-34.80388976521206,-34.932272978357155,-31.360146092944223,-33.440791594315,-34.41461675109741,-34.7649279116526,-34.916203257944474,-34.94226722879992,-31.556281602456604,-33.46275481300508,-34.489532880422814,-34.81127591147101,-34.94019382161425,-34.937769624633965,72.92844349922369,0.0,135.50702949036824,3.693450176631629e-12,124.88794359780536,0.0020129447275611017,86.95741991769692,0.0022363799055960952,0
15,-31.16802899782426,-33.18319641349488,-34.20074545053414,-34.60566458470193,-34.83015879242923,-33.34066771961389,-34.21475992713987,-34.6153162751304,-34.80147987942283,-34.88922653029398,-30.951134063816433,-31.570933675143827,-33.565814616590906,-34.192621107987335,-34.66219046258996,-34.84917874970449,-31.361781547072464,-33.28315129020123,-34.22166154082474,-34.6147080558429,-34.8027961786567,-34.89528065259985,-31.547126901885534,-33.303932972667745,-34.300977825705864,-34.67116229054882,-34.85282471096991,-34.905248474225004,62.51044706980248,0.0,136.57387955982853,0.0,84.63189867016634,0.00014637419757086302,86.82981305489535,0.0012909796149229934,0
16,-31.1708559759564,-33.23041038132325,-34.25443263600244,-34.64955320731925,-34.86315874235657,-33.39039025428813,-34.26800991070198,-34.658850340692965,-34.837423674566594,-34.91627957162903,-30.948779031614208,-31.582247236372766,-33.61792015769261,-34.24575707016467,-34.70397493797027,-34.88020252467123,-31.36900994391104,-33.33203373127465,-34.27482802975909,-34.65826482320305,-34.838661403338776,-34.920832668195956,-31.55787490678318,-33.35316165140513,-34.35287856896909,-34.71258898147062,-34.884412728245714,-34.92877613783254,64.83554879143388,1.0846053234624877e-11,136.89148790257752,1.7700784765822272e-13,107.69884116265489,0.0005193034814689459,86.52460335012833,0.001511090107984041,0
17,-31.187628184072086,-33.28211058236526,-34.31235412643184,-34.696452209978716,-34.897130848371546,-33.444416840018874,-34.32545875254935,-34.70533413442466,-34.87513707200556,-34.94260732959232,-30.961882599787184,-31.60505370387991,-33.67426276901743,-34.303062602839645,-34.74843774608808,-34.91164868743497,-31.388912120935878,-33.385335053072964,-34.33218927862557,-34.70477347690382,-34.876280533618214,-34.94515261515757,-31.580261836814906,-33.40674411558319,-34.40888367982659,-34.756648497496755,-34.916642159661095,-34.95037481334374,68.62382412223153,5.259850138255923e-17,136.9063635194637,7.757149645868392e-14,116.22859208873761,0.0008804006760820999,86.73565269373282,0.0017110828897410695,0
18,-31.209477150733065,-33.3331621863329,-34.37090169696163,-34.742873930018874,-34.928440093653734,-33.49786633510479,-34.38351134195953,-34.75127421295285,-34.9111247738455,-34.9642206911647,-30.981232408503274,-31.631126598867183,-33.73034719495952,-34.36090981833873,-34.7920795428096,-34.939785332812875,-31.41294345228528,-33.438102577201725,-34.390158274142934,-34.75073936509243,-34.91215582216548,-34.96414613918401,-31.606014333313993,-33.45974371073904,-34.4654780565303,-34.79984724661503,-34.945804642009705,-34.9657736257229,75.65316657534638,9.55600784180535e-15,136.61553584278104,0.0,121.42161472805732,0.0012530798262441506,87.11240897007798,0.0018926566691104673,0
19,-31.23286772109646,-33.38088250540118,-34.42842581557275,-34.78682960332609,-34.95457718769072,-33.548192769520675,-34.440505108247415,-34.79465924248477,-34.94306471630527,-34.97810528857276,-31.0031619956526,-31.657102209178042,-33.78390560271911,-34.41760356703459,-34.83279917563931,-34.96198197928201,-31.43765683345127,-33.48776642496857,-34.447076968854546,-34.79415062543745,-34.943960615387624,-34.97470233933058,-31.631763052253486,-33.50959203726991,-34.521022768190555,-34.840077985801656,-34.96924584438945,-34.97166598899834,70.61997335211551,4.50823786381697e-16,135.9962225012025,0.0,123.93853524640406,0.0016584884907589578,86.95851032354449,0.0020549090752916823,0
20,-31.26928641592935,-33.24349356975051,-34.24229804933499,-34.6403957353203,-34.86062682250236,-33.397850513041455,-34.25601919248402,-34.64988120264811,-34.832389764223805,-34.91881128434793,-31.05657252482275,-31.665130556313898,-33.61832636568183,-34.23418346056117,-34.695891779397556,-34.87938280622183,-31.459396680663637,-33.34118971522472,-34.26280369172584,-34.64928700722912,-34.83367818206903,-34.92491854630593,-31.641809749857792,-33.361735258480294,-34.340764693160224,-34.70467328705301,-34.882824972263876,-34.934896782318596,60.93519826955416,4.327347870293846e-16,136.87535440124267,1.1898540017800905e-13,30.9802484261037,0.0,86.63509499565484,0.0010773814992695,0
